Realization1,Realization2,Realization3,Realization4,Realization5,Realization6,Realization7,Realization8,Realization9,Realization10
11746,20146,31004,20802,14289,19008,15344,20920,20773,24551
11462,20086,29085,20740,13923,18320,14825,19657,19175,23892
10999,20027,32519,20679,13352,18148,14513,18505,17477,19743
10814,19669,36357,20309,12900,17747,14981,17373,16079,22904
10314,19206,35145,19831,12311,17031,14981,16271,15779,23034
10005,18467,31812,19068,11828,16209,14046,15333,16878,29035
9566.1,18467,29186,19068,11455,15531,13318,14766,14980,28817
9129.1,18011,27671,18597,11075,14710,12871,15230,14481,26978
8709.1,17840,26762,18421,10750,14196,12530,15024,14082,26909
8377.6,17595,25349,18168,10613,14093,13114,14457,13482,26909
8087.9,17012,23935,17565,10075,13939,12919,14302,12783,26909
7903.8,16576,22723,17116,9986.4,13528,12044,14198,12384,25560
7682.8,16250,21309,16779,10430,13323,11342,13683,12184,24221
10927,7123.2,16115,10882,14855,15910,16607,13253,16933,15591
10557,7024.8,16115,10292,13381,15372,15752,12362,16061,15281
10107,6986.3,15953,10115,12836,14832,14817,11636,15108,15024
9927.8,6947.7,15902,10292,12935,14832,14194,11587,14473,14972
9883.2,6909.2,16115,11670,12196,15372,13779,11548,14049,15591
10152,6909.2,16935,11203,11716,15372,13779,11636,14049,16658
10286,6794.6,17099,11020,11105,14832,14194,11587,14473,17537
10017,6640.5,17153,10836,10459,13756,13207,11165,13467,17703
9614.4,6448.9,16935,10607,9791.2,13245,12329,10653,12571,17373
9216.7,6334.3,16443,10382,9130.9,12339,11846,10157,12079,17262
8961,6107.2,15851,10158,8877.6,11761,11336,9755.4,11559,16658
8707.4,5925.7,15083,9722,8626.3,12488,10960,9310.8,11176,16271
8453.8,5852.7,14468,9070.3,8207.2,12143,10777,9052.1,10988,15952
8242.8,5779.6,13955,8652.9,7836.4,11514,10058,9009.7,10255,16382
7991.2,6071.7,13597,8241.5,7557,11275,9794.8,9487.6,9987.2,16712
7789.3,7221.5,13033,8035.7,7557,10896,9444.6,9487.6,9630.1,15488
7588.4,7342.2,12838,7852.8,7078.6,10344,9187.7,9621,9368.1,14870
7427.1,6909.2,12167,7750.9,6963,10434,9012.1,9799.9,9189.1,14096
7145.1,6756.1,11737,7436.4,6848.4,10570,8844.5,10022,9018.2,13484
6912.8,7024.8,11458,7122.9,6696.6,10803,8678.8,10653,8849.3,13009
6798.1,10191,11272,6888.5,6506.7,11275,8638.2,10838,8807.8,12244
6643.9,13659,11043,6776.7,6392.1,11466,8638.2,10653,8807.8,11955
